"year_new","unemp_22","unemp_23","unemp_24","unemp_25","unemp_26","unemp_27","population_22","population_23","population_24","population_25","population_26","population_27"
1979,0.064156386113957,0.0389788842215799,0.0482120615091305,0.0316220979259212,0.0375735638526585,0.0364338858608898,116032.177468618,145564.981585821,155767.56321907,155092.422470093,159314.177445094,165807.772305806
1980,0.0743974302935243,0.0465294310817238,0.0320456536857014,0.0346764023213788,0.0319688960860318,0.0309104589424655,468289.765637716,587917.962418556,609260.215532303,609615.70355924,612783.431660652,648850.037356059
1981,0.0929094489549428,0.0629374623088545,0.0361377706549342,0.0465751851498922,0.0378103067442801,0.0321681589489181,448566.280885696,631795.749664307,642806.703930219,602497.100687663,640515.45916748,624424.510983149
1982,0.0922682890189701,0.0628623291659828,0.0466381962262504,0.0448672280943801,0.0378964537509592,0.037470543473492,419119.56922849,595783.602206548,655862.303067525,644165.433024724,622977.565932592,644949.47048378
1983,0.108455597257322,0.0746389593738333,0.0657977772988837,0.0609447144170637,0.048811462194317,0.0532406209988184,454181.123312632,638803.460910797,652408.995491664,639394.602503459,662094.081513087,676345.749495824
1984,0.0975621940116292,0.0682622774502016,0.0585656346962541,0.0471981745265345,0.0362878221316349,0.0344515235947377,468531.375045776,647227.955957413,681406.753160477,682496.64686648,733150.807857513,700187.751993179
1985,0.0929517373652602,0.0579455429999298,0.0424770971793647,0.0296443762667945,0.0324444028411992,0.0303681025196555,494565.769573212,657202.309277852,665941.246450424,694963.891171138,690604.927536011,705940.882752101
1986,0.0787767141088189,0.0565794730978554,0.035891376238118,0.0375705547968577,0.0302732027395596,0.0227447011389065,444880.66047287,638634.601383209,711471.644945145,707363.208554586,745926.626823425,740260.430792491
1987,0.0926459586552034,0.0531793588887584,0.0458732387894687,0.0322673930482283,0.0287940053473039,0.0259564473457181,436844.703512828,636894.14421463,715482.393776576,709641.21417745,743588.941537221,721513.826981862
1988,0.0878906354624764,0.0552081115133515,0.0342760421501261,0.0277997119801712,0.0229680086096699,0.0297171812552688,401208.630120595,665793.227283478,726631.38630422,750141.431289673,741028.555843353,730418.655556997
1989,0.0649557515837435,0.052509677201993,0.0264107616138288,0.0329880556022038,0.0253046249861631,0.0237067970843369,408182.710249583,595071.886502584,700998.094876607,741358.066407522,761312.010431926,741263.092422485
1990,0.0642114986357774,0.0498700662179859,0.0290217476381918,0.0376834221394967,0.0251180570345992,0.0254724526352846,413315.683019002,617620.32222112,701146.028199514,718295.497497559,739243.649459839,769331.88209788
1991,0.0887200077518545,0.0568475217608638,0.0391677049162573,0.0374351444570809,0.0305160655966522,0.0353080044117628,401403.391579946,632793.277177175,697887.494384766,721000.217229207,722637.969731649,762974.875624339
1992,0.0932370080732011,0.0614709802613443,0.0513612405002957,0.0376288941343503,0.0393495416836008,0.034874110641727,430440.675514221,638203.966651917,680964.685675303,708962.951057434,782228.351647695,735467.88278834
1993,0.100793301051395,0.0597514945574214,0.0473415338699456,0.0350436802038555,0.0467672752770962,0.0334119315163072,407749.079321543,633330.200049082,734305.896217346,753365.863388062,696222.205989838,759672.267518361
1994,0.0752097299048059,0.050557121178121,0.0406403225249822,0.0411206798478156,0.0362909329828042,0.0323678100438105,405188.831778208,700957.80220286,784887.746344248,756754.496164958,758169.917804082,708879.326377869
1995,0.0718508777554001,0.0558035022625013,0.0415988733225751,0.0317963404207374,0.0339861326568608,0.0275420146298196,377111.675421397,716024.603932698,868544.32589976,803612.836750031,785724.107936859,775391.224761963
1996,0.0894215194222839,0.0523131517587511,0.0443262479325185,0.0293505076436487,0.0323684968514342,0.0239910182660289,357533.233590444,593207.547105153,837532.113582611,943884.968552907,837546.151176453,754769.791320801
1997,0.0876054032516508,0.0533434782374154,0.0337032930933596,0.0257194696114795,0.0254255660145448,0.0282891621982877,347736.18841807,637729.514111837,790072.130238851,844205.312886556,924030.607748667,847357.646063487
1998,0.0552832903391497,0.0362020955507295,0.015820847192424,0.0233945844702188,0.0259817337922543,0.0198148618010904,375970.244084676,637655.458778381,750309.432407379,770351.83944575,849083.332471848,876397.302583059
1999,0.0552775533630901,0.0418671109962274,0.0275414279293857,0.0283496254166184,0.0181656289709307,0.0177620156616168,380564.214859009,619218.792536418,750469.724408468,774463.179732005,807131.777374268,804875.586846034
2000,0.0723227440640768,0.0517804166002602,0.0339231236534436,0.0308244847199957,0.0174162446331715,0.018923434677963,400266.932056427,665446.592219035,779888.882972717,774476.779685974,799745.700669607,865226.93680954
2001,0.0617460133607838,0.0385593879095088,0.0312501890892018,0.0196774433598106,0.018759871928321,0.0174119216084484,406778.760452271,703972.914057414,861886.712958018,826078.489404043,854489.968243917,810587.721231461
2002,0.0899375709570554,0.0556242696532325,0.0423480581696468,0.0340592583067599,0.0349723116970456,0.0351532270645213,432344.033686956,712626.466612498,849954.982830683,851280.892889659,820840.383881887,801261.789128621
2003,0.0903709806200666,0.0627804870641176,0.0334300011654717,0.0399218076293869,0.0337844119287373,0.0332881534528289,425532.229797363,751340.206263224,851932.836284637,805247.011238098,844875.783007304,875310.871320089
2004,0.0924173010616777,0.0585070272447305,0.0476544724356111,0.0368257795666398,0.0336143135781387,0.0354778333757573,470590.159726461,775960.719390869,935577.779151917,875172.368713379,869610.039193471,822591.571568807
2005,0.0729050104096308,0.0479813113346695,0.0484748805344328,0.0387299505718643,0.0304620299271283,0.0208886240407887,474554.230438232,820511.208625793,980555.166166941,919287.25978152,829871.522815704,855271.280038198
2006,0.0651291138142169,0.0451388396662943,0.0347104274295802,0.0352903222776483,0.033780731294396,0.0272136033742861,483931.049732208,785237.078760147,881403.204479218,953349.476510366,927965.112770081,862430.216795603
2007,0.0722016266759335,0.0492574984749584,0.0340999239862328,0.0217010830108804,0.0298241295934255,0.026569667075386,487882.007108053,829692.864349365,948264.583543142,1018243.71825536,972664.536507924,924559.321749369
2008,0.0680211270923164,0.0557020722866575,0.0450995705807919,0.022942698512451,0.0252438915429321,0.0270272606855507,525102.491021474,940658.732869466,988544.546047211,1019782.06648254,1033539.41187032,991167.577123006
2009,0.0851525336229675,0.0669696830075124,0.050511312870722,0.0397079267827745,0.0373330883582507,0.0312385932746727,555105.457665761,925007.622942607,1054163.19105911,1034589.73212941,1032271.58945084,1022631.49889247
2010,0.11773625176,0.0852210496674619,0.0711769721309564,0.0570803665036993,0.056904093976012,0.0589313565774534,529494.3802948,931518.17599233,1096044.27653249,1068256.63088989,1033563.66671626,1040663.85004552
2011,0.158442389206621,0.0840161960250212,0.071224192308657,0.0622131295557557,0.0567048606643868,0.0534858659674607,538030.749314626,954151.145989736,1122604.47864405,1093584.06953812,1064786.41299693,1026944.57512792
2012,0.122282476756141,0.0816497150171386,0.0608436305640291,0.0556193532981612,0.0414483281027152,0.0485791080764247,530414.778689067,963261.11014684,1084524.26313273,1092224.92577235,1077047.01917903,1057374.56051763
2013,0.104651892583107,0.0740124119676889,0.0571784626926389,0.0527932868121946,0.0398343409921541,0.0396389323338105,570824.270980835,983195.482086182,1132072.54467392,1034755.94725545,1078482.62988027,1123436.06099319
2014,0.107844317412193,0.092040194808701,0.054617961264321,0.0429173657460274,0.0439178769934091,0.0464955492526479,617453.187360128,1017301.55135854,1180527.73461024,1092027.23590978,1113901.11774699,1099661.94845072
2015,0.092954485992474,0.0681295336477553,0.0524181306380204,0.0450762214146709,0.0376378404283548,0.0374012129020495,647837.327559153,1016265.79834112,1216466.12731171,1202339.56490072,1131761.93925603,1059481.88370005
2016,0.0772909170399042,0.0496296986417904,0.0449690531784109,0.0388784597620029,0.0285905410864288,0.0302492789789618,644657.664919535,1082675.3704923,1224948.7660586,1267973.49906921,1199147.50277074,1101216.46187719
2017,0.0691107071532878,0.0477622305782323,0.0515880118804433,0.0343532225106949,0.025503720508076,0.0286857340890011,671053.626533508,1073737.80455017,1225154.79412079,1169994.50311534,1284594.65122732,1204319.66038132
2018,0.0908859277614004,0.0485399547534223,0.0338302628345264,0.0288448417925871,0.0315798560817633,0.0175374777345765,684247.621517181,1096812.2745959,1285848.57122167,1249103.90744654,1284321.25638453,1317374.87658819
2019,0.0884667935101906,0.0551511201207015,0.0300719240897598,0.0269764012538806,0.0254956941644158,0.0225238571375748,705139.493103027,1182957.74155299,1214689.12160238,1255651.7614212,1276541.04067485,1309669.3915863
2020,0.0811927900290516,0.0509207672356976,0.0353210522198882,0.0289403266313027,0.0278904272530754,0.0296925398350079,770819.205355326,1178551.29345195,1264243.97754415,1260353.51070404,1279078.66533788,1373082.9421107
2021,0.150996121874065,0.120430226704727,0.101230687393457,0.0795287292148136,0.0709115436387021,0.0739341655587232,734481.295682271,1211337.67400614,1358733.6383667,1380113.95598602,1357512.54527028,1357367.12422689
2022,0.0874332401939555,0.0728946621580699,0.0493078334696639,0.0463177854698997,0.0420417956270736,0.0333093585362739,731386.064946493,1135710.41903178,1243885.2369283,1294096.57530848,1272520.17083995,1290324.51848348
2023,0.0992168121937009,0.043181154609996,0.0406651544801735,0.0369120923549679,0.0280944432026687,0.0270456320095056,758264.08946228,1197922.29368846,1299609.38994853,1316511.6289533,1283720.44951375,1298400.76986186
2024,0.0699650124148639,0.0614563946947712,0.045161703938017,0.0370693771489497,0.0372384456227425,0.0343707024088856,814356.674669901,1211086.48142497,1413052.28425852,1275691.56023153,1300475.80725479,1371843.35559082
2025,0.0895968992758674,0.0650871210982304,0.05153745588662,0.0391028293683423,0.0402233647338761,0.0315746826018955,792612.554074605,1236809.85123952,1425363.86098989,1341664.31761805,1360899.28414663,1272072.08903631
2026,0.087259401438111,0.080385859135773,0.0462183836618623,0.0442742418362568,0.0401341984973647,0.039103165206564,827138.57635498,1207397.48815641,1455740.21891091,1407991.90519021,1275834.01805253,1428823.78874345
